what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892717316
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892722961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892724756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892724976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892725003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892725939
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1331892733408
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1331892733592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892737018
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892740878
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331892750163
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1331892751340
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892751911
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892758702
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331892764331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892766364
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892766594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892766615
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892767352
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1331892767784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892768143
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892772925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892774166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892774419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892774445
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331892775331
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331892785041
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331892794360
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331892804677
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1331892805372
